displaytitle,description,class
How to Remove Paint from Your Shirt,Apply an oil paint solvent to the stained area,21-30secs
How to Soak Clothes,Fill the soaking container,51-60secs
How to Get Housing Assistance for Children of Incarcerated Parents,Find the appropriate public housing agency,31-40secs
How to Find Lost Objects,Breathe in and out,1-10secs
How to Get Acrylic Paint Out of Clothes,Turn the garment inside out - or at least the part where the stain is,21-30secs
How to Transfer Money Fast Overseas,Complete a cash-to-cash transaction in person,41-50secs
How to Remove Rust and Corrosion,Purchase a chemical rust remover,1-10secs
How to Remove Candle Wax,Wipe it away,1-10secs
How to Remove Candle Wax,If necessary repeat,21-30secs
How to Verify a Social Security Number,Register to use the SSNVS,1-10secs
How to Clean Platinum,Line a pan with tin foil,41-50secs
How to Order Checks,Visit your bank's website,11-20secs
How to Defend Against Online Trademark Disputes,Search USPTO records,41-50secs
How to Defend Against Online Trademark Disputes,Analyze an individual's trademark rights,11-20secs
How to Defend Against Online Trademark Disputes,Contest an application for trademark registration,11-20secs
How to Defend Against Online Trademark Disputes,Challenge a trademark registration,21-30secs
How to Defend Against Online Trademark Disputes,File a lawsuit,31-40secs
How to Clean Gold Plated Watches,Spot clean with toothpaste,51-60secs
How to Run for President of the United States,Make sure you are at least 35 years old and a natural born United States citizen,41-50secs
How to Clean Lint from a Dryer,Take off the panel,11-20secs
How to Pay for a Money Order,Purchase a money order from the bank,41-50secs
How to Get Rid of Moths,Know the signs,31-40secs
How to Get Rid of the Smell of Mothballs,Use charcoal,31-40secs
How to Clean Your Carpets,Use a clean white cloth,31-40secs
How to Remove Clothing Labels,Cut the label out as close to the seam as you can,1-10secs
How to Prevent Static in Laundry,Place a dryer sheet in your dryer,1-10secs
How to Remove Dog Urine,Soak up any excess urine immediately,1-10secs
How to Make Play Money,Consider what your money represents,21-30secs
How to Make Play Money,Write the name of your game or country above the centered face,11-20secs
How to Clean Wood Furniture with Vinegar,Dilute white vinegar with water,31-40secs
How to Recycle Plastic,Find out about your community's recycling program,31-40secs
How to Clean Teak Furniture,Make a bleach cleaning solution,11-20secs
How to Clean and Maintain a Suede Couch,Remove the cushions on the couch every week or so,31-40secs
How to Fold Jeans,Fold the pants in half or thirds depending on space,21-30secs
How to Prepare a Subfloor for Hardwood,Ensure that the subfloor is as level as possible,11-20secs
How to Prepare a Subfloor for Hardwood,Assess the subfloor's structural integrity,11-20secs
How to Fold a Napkin Like a Boat,Find a square napkin to use,21-30secs
How to Fold Underwear,Fold the boxers from left to right,41-50secs
How to Recycle Aluminum Cans and Plastic Bottles and Earn Cash,Gather a sufficient number of cans and bottles,11-20secs
How to Recycle Aluminum Cans and Plastic Bottles and Earn Cash,Separate deposit from non-deposit containers,51-60secs
How to Recycle Aluminum Cans and Plastic Bottles and Earn Cash,Separate deposit cans from deposit bottles,41-50secs
How to Recycle Aluminum Cans and Plastic Bottles and Earn Cash,Organize your deposit cans and bottles by brand,31-40secs
How to Recycle Aluminum Cans and Plastic Bottles and Earn Cash,Turn your cans and bottles in,31-40secs
How to Separate Stuck Glasses,Understand how glass responds to heat,1-10secs
How to Recycle,Bring all electronics to specific e-waste programs or donation centers,21-30secs
How to Fold a Cloth Napkin,Do a Flower Fold,11-20secs
How to Complement Sepia Photos for Scrapbooks,Rely on neutral tones,21-30secs
How to Complement Sepia Photos for Scrapbooks,Let sepia photos do most of the work,11-20secs
How to Complement Sepia Photos for Scrapbooks,Add modest decorative elements,31-40secs
How to Build Credit Fast,Pay rent on time,41-50secs
How to Build Credit Fast,Determine the cause of your bad credit,41-50secs
How to Chase Lizards out of Your House,Remove any open or leftover food from around the house,41-50secs
How to Chase Lizards out of Your House,Expose problem areas,51-60secs
How to Chase Lizards out of Your House,Get a cat,21-30secs
How to Chase Lizards out of Your House,Seal the house,31-40secs
How to Make Bookends out of Bricks,Select the fabric,21-30secs
How to Make a Bookmark,Cut the fabric,31-40secs
How to Hang a Hook from a Ceiling,Assess the weight of the suspended item,21-30secs
How to Write Unique Card Greetings,Draw something,41-50secs
How to Troubleshoot a Wet Basement,Identify the source of the water,11-20secs
How to Clean Carpets,Vacuum the carpet,31-40secs
How to Patch Hairline Cracks in Plaster,Make a runny paste for applying to the crack,11-20secs
How to Make a Thaumatrope,Cut corrugated cardboard into a circle,11-20secs
How to Be More Efficient at Home,Wake up early in the morning,31-40secs
How to Be More Efficient at Home,Think back,51-60secs
How to Be More Efficient at Home,Think in the future,1-10secs
How to Be More Efficient at Home,Drink and eat lots of energy filled snacks,11-20secs
How to Find Materials for Making Greeting Cards,Use your scrap paper to create greeting cards,1-10secs
How to Find Materials for Making Greeting Cards,Incorporate real flowers,11-20secs
How to Find Materials for Making Greeting Cards,Create a grid of stickers,21-30secs
How to Find Materials for Making Greeting Cards,Decorate your card with sewing supplies,41-50secs
How to Find Materials for Making Greeting Cards,Use paint chip samples to decorate the card,21-30secs
How to Make a Standard Window Awning,Choose the awning's location,41-50secs
How to Apply Window Decals,Apply the cling to smooth surfaces,11-20secs
How to Remove the Smell of Burnt Food from Your Home,Wash or discard items that smell,41-50secs
How to Hang Roman Shades,Decide on the location for your mount,21-30secs
How to Remove a Lingering Curry Odor,Mix vinegar and water to absorb odors,31-40secs
How to Benefit from Used Car Online Auctions,Take someone with you that has a basic knowledge about car maintenance,41-50secs
How to Select Blooming Houseplants,Go for plants with new flowers or leaf buds,1-10secs
How to Select Blooming Houseplants,Discuss the maintenance of the houseplant with the grower,1-10secs
How to Harvest Kudzu,Keep it away from your land,1-10secs
How to Clean Tough Stains from a Bathtub,Try cleaning with vinegar first,11-20secs
How to Clean Tough Stains from a Bathtub,Soak problem areas for several minutes,1-10secs
How to Freeze Garden Vegetables,Boil 1 to 2 inches (2 1/2 to 5 centimeters) of water in a large pot,1-10secs
How to Clean Mold from Leather,Remove loose mold,21-30secs
How to Use Chapstick As a Survival Tool,Waterproof your shoes or gear,1-10secs
How to Buy Cabinets,Choose the right top for your cabinets as it can make or break how it all comes together,1-10secs
How to Buy Cabinets,Look at your budget,11-20secs
How to Block Yarn,Soak your work of yarn in the water,21-30secs
How to Dull Leather,Rub your leather with steel wool or fine-grit sandpaper,21-30secs
How to Draw Using Negative and Positive Space,Pick a simple subject,41-50secs
How to Plant Asparagus,Start the seeds indoors,51-60secs
How to Plant Asparagus,Transplant the male plants to the permanent bed,21-30secs
How to Blend With Prismacolor Pencils,Cover unused areas on the page,31-40secs
How to Change Avatar on Yahoo,Open the Display Image window,21-30secs
How to Act When Your Significant Other Finds Out You Self Harm,Find a quiet private place to talk,1-10secs
How to Grow English Ivy,Water the ivy regularly,21-30secs
How to Use Copic Markers,Draw the outline of your design with a Copic pen or sketch marker,21-30secs
How to Keep a Sketchbook Without Losing Interest,Buy a sketchbook,21-30secs
How to Fix a Sagging Closet Rod,Measure your current closet rod's diameter and how far it hangs away from the wall,21-30secs
How to Grow Sprouts,Select a type of sprout to start with,31-40secs
How to Draw a Bass,Sketch a few shapes as the basis of your drawing,1-10secs
How to Be Healthier Without a Dramatic Lifestyle Change,Walk more throughout the day,11-20secs
How to Buy Seed,Look at when the seeds expire,31-40secs
How to Plant Snowdrops,Fill your pot with soil,21-30secs
How to Make Plant Markers from Broken Pots,Measure the area around the specific plant,31-40secs
How to Remove Tree Stumps,Find out if it is legal to burn the stump,31-40secs
How to Dine Al Fresco,Select the food,21-30secs
How to Celebrate Earth Day,Reduce reuse and recycle,11-20secs
How to Deal with Autumn Leaves,Add landscaping near deciduous trees,31-40secs
How to Draw Batman,Decide which style of Batman you want to draw,1-10secs
How to Draw Batman,Flesh out the details,51-60secs
How to Make Upcycled Planters,Paint your colander if desired,1-10secs
How to Make a Small Home Look Bigger Using the Right Colors,Apply stripes,11-20secs
How to Grow Broccoli Sprouts,Purchase seeds,41-50secs
How to Grow Kale,Pick off any discolored or withered leaves when they appear,31-40secs
How to Ship Large Furniture,Remove any feet or other fragile pieces from the furniture,1-10secs
How to Recycle Sawdust in a Compost Pile,Ensure that your wood has not been chemically treated,11-20secs
How to Clean a Dryer Drum,Unplug the dryer,11-20secs
How to Flatten Crumpled Paper,Understand the risks,21-30secs
How to Flatten Crumpled Paper,Set the paper under a towel or cloth,11-20secs
How to Flatten Crumpled Paper,Set a clothes iron to a low heat,41-50secs
How to Flatten Crumpled Paper,Press the iron into the towel,11-20secs
How to Flatten Crumpled Paper,Make adjustments if necessary,21-30secs
How to Prevent Hair Clogs,Brush your hair beforehand,31-40secs
How to Prevent Hair Clogs,Gather any loose hair mid-showering,1-10secs
How to Prevent Hair Clogs,Avoid putting foreign objects in the drain,51-60secs
How to Preserve Tomatoes,Wash tomatoes thoroughly after gathering them from the garden,41-50secs
How to Remove Epoxy Paint,Use a fan to circulate the air,21-30secs
How to Remove Epoxy Paint,Protect your eyes with splash goggles,11-20secs
How to Construct a Hot Air Balloon,Get organized,1-10secs
How to Choose Paper,Take into account your printing needs,31-40secs
How to Buy Tickets to Formula,Consult the Formula 1 race calendar,31-40secs
How to Reuse Jewelry for Home Decor,Make magnets with old earrings,21-30secs
How to Tip a Cab Driver,Review the quality of the ride,21-30secs
How to Tip a Cab Driver,Think about the driver's demeanor,21-30secs
How to Tip a Cab Driver,Gauge the driver's area knowledge,21-30secs
How to Bend Wire,A regular curve is a line which follows the curvature of one specific circle,11-20secs
How to Mold Plastic,Prepare your work area,51-60secs
How to Identify Deficiencies in Container Plants,Check for poorly defined green shoots yellowing older leaves and premature leaf drop,51-60secs
How to Remove Acrylic Paint,Soak the stained area with rubbing alcohol,21-30secs
How to Make Stickers,Cut out the stickers,11-20secs
How to Make Stickers,Make reusable stickers,1-10secs
How to Buy Tools for Painting a House,Buy Paint brushes,51-60secs
How to Plant Carnations,Push the stem tip about 1/3-1/2 of the way into the sand,1-10secs
